ID,Genus,Division,Percent,Adjusted,Adjusted,log.per,sqrt.per,N15,Adjusted,sqrt.n15,log.n15,Exact_Depth,Depth,Zone,Site,Location,Region
NWHI-752a,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,3,5.5,2.34520788,0.740362689,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-752b,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2,4.5,2.121320344,0.653212514,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-749b,Liagora sp.,Rhodophyta,0,0,0.001,-3,0.031622777,3.4,5.9,2.42899156,0.770852012,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-749a,Liagora sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,3,5.5,2.34520788,0.740362689,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-749c,Liagora sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,3.1,5.6,2.366431913,0.748188027,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-712b,Halimeda sp.,Chlorophyta,0.4,0.004,0.005,-2.301029996,0.070710678,6.2,8.7,2.949576241,0.939519253,5,10-Jan,Shallow,Lisianski,e,NWHI
NWHI-712c,Halimeda sp.,Chlorophyta,0.5,0.005,0.006,-2.22184875,0.077459667,5.9,8.4,2.898275349,0.924279286,5,10-Jan,Shallow,Lisianski,e,NWHI
NWHI-753a,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.6,5.1,2.258317958,0.707570176,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-712a,Halimeda sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,5.7,8.2,2.863564213,0.913813852,5,10-Jan,Shallow,Lisianski,e,NWHI
NWHI-753c,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,1.9,4.4,2.097617696,0.643452676,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-753b,Halimeda sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,2.3,4.8,2.19089023,0.681241237,11,20-Nov,Shallow,Lisianski,e,NWHI
NWHI-693c,Dasya sp.,Rhodophyta,2.1,0.021,0.022,-1.657577319,0.14832397,3.6,6.1,2.469817807,0.785329835,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-693b,Dasya sp.,Rhodophyta,2.2,0.022,0.023,-1.638272164,0.151657509,3.3,5.8,2.408318916,0.763427994,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-693a,Dasya sp.,Rhodophyta,2.3,0.023,0.024,-1.619788758,0.154919334,3.2,5.7,2.387467277,0.755874856,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-694c,Caulerpa sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,3.6,6.1,2.469817807,0.785329835,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-694b,Caulerpa sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,3.4,5.9,2.42899156,0.770852012,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-694a,Caulerpa sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,3.9,6.4,2.529822128,0.806179974,30,21-30,Shallow,Lisianski,e,NWHI
NWHI-713c,Asparagopsis sp.,Rhodophyta,3.4,0.034,0.035,-1.455931956,0.187082869,5.7,8.2,2.863564213,0.913813852,5,10-Jan,Shallow,Lisianski,e,NWHI
NWHI-713a,Asparagopsis sp.,Rhodophyta,3.4,0.034,0.035,-1.455931956,0.187082869,7.1,9.6,3.098386677,0.982271233,5,10-Jan,Shallow,Lisianski,e,NWHI
NWHI-256-a,Ulva/Umbraulva,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,4,6.5,2.549509757,0.812913357,84,81-90,Mesophotic,Lisianski,e,NWHI
NWHI-273,Microdictyon sp.,Chlorophyta,0.7,0.007,0.008,-2.096910013,0.089442719,1.5,4,2,0.602059991,64,61-70,Mesophotic,Lisianski,e,NWHI
NWHI-848a,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,1.8,4.3,2.073644135,0.633468456,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-848c,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.4,4.9,2.213594362,0.69019608,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-848b,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,5.2,7.7,2.774887385,0.886490725,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-100,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.7,5.2,2.28035085,0.716003344,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-843b,Halimeda sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,2.3,4.8,2.19089023,0.681241237,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-247,Halimeda sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,2.5,5,2.236067977,0.698970004,59,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-843a,Halimeda sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.7,5.2,2.28035085,0.716003344,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-843c,Halimeda sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,2.5,5,2.236067977,0.698970004,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-102,Halimeda sp.,Chlorophyta,2.3,0.023,0.024,-1.619788758,0.154919334,4.4,6.9,2.626785107,0.838849091,64,61-70,Mesophotic,Lisianski,e,NWHI
NWHI-101,Dichotomaria sp.,Rhodophyta,0.7,0.007,0.008,-2.096910013,0.089442719,3.1,5.6,2.366431913,0.748188027,55,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-250,Dichotomaria sp.,Rhodophyta,0.8,0.008,0.009,-2.045757491,0.09486833,3.3,5.8,2.408318916,0.763427994,56,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-270,Dichotomaria sp.,Rhodophyta,1,0.01,0.011,-1.958607315,0.104880885,3.3,5.8,2.408318916,0.763427994,73,61-70,Mesophotic,Lisianski,e,NWHI
NWHI-268-a,Dasya sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,3.6,6.1,2.469817807,0.785329835,84,81-90,Mesophotic,Lisianski,e,NWHI
NWHI-251,Codium sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2.7,5.2,2.28035085,0.716003344,56,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-252,Codium sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,4,6.5,2.549509757,0.812913357,56,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-271,Codium sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,2.4,4.9,2.213594362,0.69019608,64,61-70,Mesophotic,Lisianski,e,NWHI
NWHI-249,Codium sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,2.9,5.4,2.323790008,0.73239376,59,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-104,Codium sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,1.8,4.3,2.073644135,0.633468456,58,51-60,Mesophotic,Lisianski,e,NWHI
NWHI-272,Cladophora sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,4.2,6.7,2.588435821,0.826074803,64,61-70,Mesophotic,Lisianski,e,NWHI
NWHI-839c,Cladophora sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,4.6,7.1,2.664582519,0.851258349,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-839a,Cladophora sp.,Chlorophyta,1.5,0.015,0.016,-1.795880017,0.126491106,4.6,7.1,2.664582519,0.851258349,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-765c,Cladophora sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,4.3,6.8,2.607680962,0.832508913,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-839b,Cladophora sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,4.4,6.9,2.626785107,0.838849091,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-765a,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,4,6.5,2.549509757,0.812913357,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-765b,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,4.3,6.8,2.607680962,0.832508913,98,91-100,Mesophotic,Lisianski,e,NWHI
NWHI-362,Ulva/Umbraulva,Chlorophyta,0.9,0.009,0.01,-2,0.1,5.8,8.3,2.880972058,0.919078092,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-365,Ulva/Umbraulva,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,5.8,8.3,2.880972058,0.919078092,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-357,Sporochnus sp.,Phaeophyceae,1.7,0.017,0.018,-1.744727495,0.134164079,3.1,5.6,2.366431913,0.748188027,88,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-368,Sporochnus sp.,Phaeophyceae,1.7,0.017,0.018,-1.744727495,0.134164079,4.7,7.2,2.683281573,0.857332496,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-477,Padina sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,6.8,9.3,3.049590136,0.968482949,80,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-359,Microdictyon sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2.4,4.9,2.213594362,0.69019608,88,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-355,Microdictyon sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,0.8,3.3,1.816590212,0.51851394,84,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-467,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,2.6,5.1,2.258317958,0.707570176,54,51-60,Mesophotic,Pioneer,f,NWHI
NWHI-468,Halymenia sp.,Rhodophyta,1.4,0.014,0.015,-1.823908741,0.122474487,6.1,8.6,2.93257566,0.934498451,80,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-465,Halimeda sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,2,4.5,2.121320344,0.653212514,54,51-60,Mesophotic,Pioneer,f,NWHI
NWHI-367,Gracilaria sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,5.5,8,2.828427125,0.903089987,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-479,Gracilaria sp.,Rhodophyta,1.8,0.018,0.019,-1.721246399,0.137840488,5.8,8.3,2.880972058,0.919078092,80,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-369,Dictyota sp.,Phaeophyceae,1,0.01,0.011,-1.958607315,0.104880885,4.2,6.7,2.588435821,0.826074803,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-363,Dasya sp.,Rhodophyta,2.4,0.024,0.025,-1.602059991,0.158113883,4.8,7.3,2.701851217,0.86332286,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-358,Cladophora sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,-0.3,2.2,1.483239697,0.342422681,88,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-461,Cladophora sp.,Chlorophyta,1.3,0.013,0.014,-1.853871964,0.118321596,3.8,6.3,2.50998008,0.799340549,90,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-360,Cladophora sp.,Chlorophyta,2,0.02,0.021,-1.677780705,0.144913767,2.5,5,2.236067977,0.698970004,79,71-80,Mesophotic,Pioneer,f,NWHI
NWHI-356,Cladophora sp.,Chlorophyta,3.1,0.031,0.032,-1.494850022,0.178885438,3.2,5.7,2.387467277,0.755874856,84,81-90,Mesophotic,Pioneer,f,NWHI
NWHI-466,Caulerpa sp.,Chlorophyta,2.3,0.023,0.024,-1.619788758,0.154919334,2.4,4.9,2.213594362,0.69019608,54,51-60,Mesophotic,Pioneer,f,NWHI
NWHI-208,Padina sp.,Phaeophyceae,0.4,0.004,0.005,-2.301029996,0.070710678,3.9,6.4,2.529822128,0.806179974,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-202-1,Microdictyon sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,1.5,4,2,0.602059991,58,51-60,Mesophotic,Laysan,g,NWHI
NWHI-212-1,Halimeda sp.,Chlorophyta,0.3,0.003,0.004,-2.397940009,0.063245553,1.1,3.6,1.897366596,0.556302501,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-209-1,Halimeda sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,3.4,5.9,2.42899156,0.770852012,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-205-1,Halimeda sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.6,5.1,2.258317958,0.707570176,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-203-1,Distromium sp.,Phaeophyceae,0.6,0.006,0.007,-2.15490196,0.083666003,4.1,6.6,2.569046516,0.819543936,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-198,Distromium sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,3.5,6,2.449489743,0.77815125,58,51-60,Mesophotic,Laysan,g,NWHI
NWHI-201-1,Distromium sp.,Phaeophyceae,0.9,0.009,0.01,-2,0.1,3.5,6,2.449489743,0.77815125,58,51-60,Mesophotic,Laysan,g,NWHI
NWHI-210-1,Distromium sp.,Phaeophyceae,1.9,0.019,0.02,-1.698970004,0.141421356,0.4,2.9,1.702938637,0.462397998,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-204-1,Dichotomaria sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3.8,6.3,2.50998008,0.799340549,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-206-1,Codium sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,1.3,3.8,1.949358869,0.579783597,61,61-70,Mesophotic,Laysan,g,NWHI
NWHI-200-1,Caulerpa sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,3.3,5.8,2.408318916,0.763427994,58,51-60,Mesophotic,Laysan,g,NWHI
NWHI-105,Caulerpa sp.,Chlorophyta,2.6,0.026,0.027,-1.568636236,0.164316767,3.3,5.8,2.408318916,0.763427994,59,51-60,Mesophotic,Gardner,h,NWHI
NWHI-609b,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,1.5,4,2,0.602059991,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-609a,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,-0.2,2.3,1.516575089,0.361727836,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-609c,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.7,5.2,2.28035085,0.716003344,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-600,Liagora sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,2.4,4.9,2.213594362,0.69019608,23,21-30,Shallow,FFS,i,NWHI
NWHI-597,Liagora sp.,Rhodophyta,0.4,0.004,0.005,-2.301029996,0.070710678,2.7,5.2,2.28035085,0.716003344,23,21-30,Shallow,FFS,i,NWHI
NWHI-601,Liagora sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3,5.5,2.34520788,0.740362689,23,21-30,Shallow,FFS,i,NWHI
NWHI-599,Liagora sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3.1,5.6,2.366431913,0.748188027,23,21-30,Shallow,FFS,i,NWHI
NWHI-598,Liagora sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3.3,5.8,2.408318916,0.763427994,23,21-30,Shallow,FFS,i,NWHI
NWHI-616,Liagora sp.,Rhodophyta,0.6,0.006,0.007,-2.15490196,0.083666003,3.2,5.7,2.387467277,0.755874856,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-617,Liagora sp.,Rhodophyta,0.7,0.007,0.008,-2.096910013,0.089442719,3,5.5,2.34520788,0.740362689,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-615,Liagora sp.,Rhodophyta,0.8,0.008,0.009,-2.045757491,0.09486833,3.1,5.6,2.366431913,0.748188027,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-646c,Laurencia sp.,Rhodophyta,1.2,0.012,0.013,-1.886056648,0.114017543,4.9,7.4,2.720294102,0.86923172,7,10-Jan,Shallow,FFS,i,NWHI
NWHI-646b,Laurencia sp.,Rhodophyta,1.3,0.013,0.014,-1.853871964,0.118321596,5,7.5,2.738612788,0.875061263,7,10-Jan,Shallow,FFS,i,NWHI
NWHI-641a,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.4,4.9,2.213594362,0.69019608,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-641c,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.7,5.2,2.28035085,0.716003344,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-641b,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2.4,4.9,2.213594362,0.69019608,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-612a,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,2.8,5.3,2.302172887,0.72427587,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-612b,Halimeda sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,3,5.5,2.34520788,0.740362689,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-612c,Halimeda sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.4,4.9,2.213594362,0.69019608,10,10-Jan,Shallow,FFS,i,NWHI
NWHI-642a,Halimeda sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.2,4.7,2.167948339,0.672097858,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-642c,Halimeda sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,2.8,5.3,2.302172887,0.72427587,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-608a,Halimeda sp.,Chlorophyta,2.2,0.022,0.023,-1.638272164,0.151657509,2.5,5,2.236067977,0.698970004,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-608c,Halimeda sp.,Chlorophyta,2.3,0.023,0.024,-1.619788758,0.154919334,0.9,3.4,1.843908891,0.531478917,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-642b,Halimeda sp.,Chlorophyta,2.3,0.023,0.024,-1.619788758,0.154919334,2.9,5.4,2.323790008,0.73239376,14,20-Nov,Shallow,FFS,i,NWHI
NWHI-608b,Halimeda sp.,Chlorophyta,2.4,0.024,0.025,-1.602059991,0.158113883,1.5,4,2,0.602059991,11,20-Nov,Shallow,FFS,i,NWHI
NWHI-184,Ulva/Umbraulva,Chlorophyta,0.3,0.003,0.004,-2.397940009,0.063245553,3.5,6,2.449489743,0.77815125,64,61-70,Mesophotic,FFS,i,NWHI
NWHI-330,Ulva/Umbraulva,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,2.4,4.9,2.213594362,0.69019608,83,81-90,Mesophotic,FFS,i,NWHI
NWHI-336,Ulva/Umbraulva,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,3.7,6.2,2.48997992,0.792391689,91,91-100,Mesophotic,FFS,i,NWHI
NWHI-668a,Scinaia sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,5.2,7.7,2.774887385,0.886490725,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-177-1,Reticulocaulis sp.,Rhodophyta,0.5,0.005,0.006,-2.22184875,0.077459667,3.7,6.2,2.48997992,0.792391689,63,61-70,Mesophotic,FFS,i,NWHI
NWHI-180-1,Reticulocaulis sp.,Rhodophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2,4.5,2.121320344,0.653212514,63,61-70,Mesophotic,FFS,i,NWHI
NWHI-351,Padina sp.,Phaeophyceae,0.5,0.005,0.006,-2.22184875,0.077459667,2.7,5.2,2.28035085,0.716003344,91,91-100,Mesophotic,FFS,i,NWHI
NWHI-237,Padina sp.,Phaeophyceae,1.1,0.011,0.012,-1.920818754,0.109544512,2.3,4.8,2.19089023,0.681241237,81,81-90,Mesophotic,FFS,i,NWHI
NWHI-341,Microdictyon sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,0.6,3.1,1.760681686,0.491361694,82,81-90,Mesophotic,FFS,i,NWHI
NWHI-329,Microdictyon sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,-0.6,1.9,1.378404875,0.278753601,61,61-70,Mesophotic,FFS,i,NWHI
NWHI-655a,Microdictyon sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,-0.3,2.2,1.483239697,0.342422681,64,61-70,Mesophotic,FFS,i,NWHI
NWHI-655c,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,0.3,2.8,1.673320053,0.447158031,64,61-70,Mesophotic,FFS,i,NWHI
NWHI-655b,Microdictyon sp.,Chlorophyta,1.2,0.012,0.013,-1.886056648,0.114017543,2.5,5,2.236067977,0.698970004,64,61-70,Mesophotic,FFS,i,NWHI
NWHI-69,Martensia sp.,Rhodophyta,3.5,0.035,0.036,-1.443697499,0.18973666,2.2,4.7,2.167948339,0.672097858,61,61-70,Mesophotic,FFS,i,NWHI
NWHI-72,Martensia sp.,Rhodophyta,3.5,0.035,0.036,-1.443697499,0.18973666,2.6,5.1,2.258317958,0.707570176,62,61-70,Mesophotic,FFS,i,NWHI
NWHI-68,Halimeda sp.,Chlorophyta,0.2,0.002,0.003,-2.522878745,0.054772256,2.1,4.6,2.144761059,0.662757832,61,61-70,Mesophotic,FFS,i,NWHI
NWHI-621c,Halimeda sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,0.8,3.3,1.816590212,0.51851394,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-621a,Halimeda sp.,Chlorophyta,0.8,0.008,0.009,-2.045757491,0.09486833,0.3,2.8,1.673320053,0.447158031,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-621b,Halimeda sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,1.6,4.1,2.024845673,0.612783857,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-215-1,Halimeda sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,3.6,6.1,2.469817807,0.785329835,67,61-70,Mesophotic,FFS,i,NWHI
NWHI-186-1,Halimeda sp.,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,2.8,5.3,2.302172887,0.72427587,55,51-60,Mesophotic,FFS,i,NWHI
NWHI-185,Distromium sp.,Phaeophyceae,0.8,0.008,0.009,-2.045757491,0.09486833,3.4,5.9,2.42899156,0.770852012,55,51-60,Mesophotic,FFS,i,NWHI
NWHI-352,Distromium sp.,Phaeophyceae,1,0.01,0.011,-1.958607315,0.104880885,3.8,6.3,2.50998008,0.799340549,91,91-100,Mesophotic,FFS,i,NWHI
NWHI-337,Distromium sp.,Phaeophyceae,1.3,0.013,0.014,-1.853871964,0.118321596,3.1,5.6,2.366431913,0.748188027,91,91-100,Mesophotic,FFS,i,NWHI
NWHI-74,Codium sp.,Chlorophyta,0.6,0.006,0.007,-2.15490196,0.083666003,2.9,5.4,2.323790008,0.73239376,62,61-70,Mesophotic,FFS,i,NWHI
NWHI-216,Codium sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,3.5,6,2.449489743,0.77815125,67,61-70,Mesophotic,FFS,i,NWHI
NWHI-348,Codium sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,1.1,3.6,1.897366596,0.556302501,91,91-100,Mesophotic,FFS,i,NWHI
NWHI-232,Codium sp.,Chlorophyta,1.9,0.019,0.02,-1.698970004,0.141421356,3.4,5.9,2.42899156,0.770852012,88,81-90,Mesophotic,FFS,i,NWHI
NWHI-625c,Cladophora sp.,Chlorophyta,0.9,0.009,0.01,-2,0.1,3.2,5.7,2.387467277,0.755874856,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-625b,Cladophora sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,3,5.5,2.34520788,0.740362689,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-656,Cladophora sp.,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,2.5,5,2.236067977,0.698970004,64,61-70,Mesophotic,FFS,i,NWHI
NWHI-625a,Cladophora sp.,Chlorophyta,1.3,0.013,0.014,-1.853871964,0.118321596,3.1,5.6,2.366431913,0.748188027,68,61-70,Mesophotic,FFS,i,NWHI
NWHI-674a,Cladophora sp.,Chlorophyta,1.6,0.016,0.017,-1.769551079,0.130384048,4.1,6.6,2.569046516,0.819543936,77,71-80,Mesophotic,FFS,i,NWHI
NWHI-340,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,2.8,5.3,2.302172887,0.72427587,82,81-90,Mesophotic,FFS,i,NWHI
NWHI-342,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,3.2,5.7,2.387467277,0.755874856,82,81-90,Mesophotic,FFS,i,NWHI
NWHI-674b,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,3.5,6,2.449489743,0.77815125,77,71-80,Mesophotic,FFS,i,NWHI
NWHI-674c,Cladophora sp.,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,3.5,6,2.449489743,0.77815125,77,71-80,Mesophotic,FFS,i,NWHI
NWHI-682c,Cladophora sp.,Chlorophyta,2.5,0.025,0.026,-1.585026652,0.161245155,3.4,5.9,2.42899156,0.770852012,77,71-80,Mesophotic,FFS,i,NWHI
NWHI-175-1,Caulerpa sp.,Chlorophyta,1.8,0.018,0.019,-1.721246399,0.137840488,4.3,6.8,2.607680962,0.832508913,63,61-70,Mesophotic,FFS,i,NWHI
NWHI-333,Caulerpa sp.,Chlorophyta,2.9,0.029,0.03,-1.522878745,0.173205081,4,6.5,2.549509757,0.812913357,69,61-70,Mesophotic,FFS,i,NWHI
NWHI-343,Amansia sp.,Rhodophyta,2.4,0.024,0.025,-1.602059991,0.158113883,2.8,5.3,2.302172887,0.72427587,82,81-90,Mesophotic,FFS,i,NWHI
NWHI-165,Scinaia sp.,Rhodophyta,0.7,0.007,0.008,-2.096910013,0.089442719,4.9,7.4,2.720294102,0.86923172,64,61-70,Mesophotic,Nihoa,j,NWHI
NWHI-166-1,Portieria sp.,Rhodophyta,1.5,0.015,0.016,-1.795880017,0.126491106,3,5.5,2.34520788,0.740362689,64,61-70,Mesophotic,Nihoa,j,NWHI
NWHI-66,Halimeda sp.,Chlorophyta,0.3,0.003,0.004,-2.397940009,0.063245553,2.8,5.3,2.302172887,0.72427587,61,61-70,Mesophotic,Nihoa,j,NWHI
NWHI-154-1,Distromium sp.,Phaeophyceae,1.3,0.013,0.014,-1.853871964,0.118321596,1.9,4.4,2.097617696,0.643452676,44,41-50,Mesophotic,Nihoa,j,NWHI
